window_size, throughput
1 KB, 25.9 Mb/s
10 KB, 209 Mb/s
100 KB, 824 Mb/s
1000 KB, 883 Mb/s
2 MB, 940 Mb/s
5 MB, 902 Mb/s
15 MB, 952 Mb/s
